1 101 201 301 401 501 601 701 801 901 
2 102 202 302 402 502 602 702 802 902 
1 103 203 303 403 503 603 703 803 903 
3 104 204 304 404 504 604 704 804 904 
4 105 205 305 405 505 605 705 805 905 
5 106 206 306 402 506 606 706 806 906 
6 104 207 307 406 507 604 707 807 907 
7 107 208 308 407 508 607 708 808 908 
8 108 209 303 408 509 608 709 809 909 
9 109 210 309 409 510 609 710 810 910 
10 110 211 310 410 511 610 711 811 909 
11 111 212 311 411 512 611 711 812 911 
6 112 213 312 412 513 612 712 813 912 
12 113 214 313 413 514 613 705 807 913 
13 114 215 314 414 515 614 713 814 914 
14 115 214 315 415 516 615 714 815 915 
15 116 212 316 416 517 616 715 802 915 
16 117 216 306 417 518 617 716 813 916 
17 118 209 317 404 519 609 717 809 917 
18 119 217 318 418 520 618 718 809 918 
13 120 218 305 413 521 619 719 816 919 
19 121 219 319 419 522 620 717 817 920 
20 122 220 320 420 523 621 720 814 911 
21 123 221 309 421 524 622 715 818 921 
22 124 222 321 422 525 623 721 818 922 
23 125 223 322 423 526 624 702 819 923 
24 126 224 323 424 527 625 710 820 924 
25 102 225 324 425 528 607 722 807 925 
26 127 226 325 426 529 626 709 821 926 
27 127 227 326 415 527 627 723 822 917 
28 128 228 327 427 502 608 724 823 927 
29 129 229 314 428 530 619 719 804 928 
30 130 230 328 429 508 628 719 824 911 
31 123 231 321 430 527 629 725 825 929 
32 131 232 329 402 531 630 726 826 930 
1 132 233 330 431 532 631 703 827 902 
33 133 234 315 432 533 632 727 828 931 
34 134 235 331 401 534 623 728 829 932 
35 135 222 321 431 535 633 727 822 933 
25 108 236 332 433 536 619 729 830 934 
9 136 237 332 434 537 634 712 831 931 
36 137 238 333 409 505 605 730 827 935 
37 138 239 334 411 529 609 731 832 936 
7 135 217 335 419 502 635 732 833 937 
38 139 240 312 409 538 636 733 801 906 
39 140 241 326 435 530 601 734 834 938 
40 117 242 321 436 506 637 735 826 939 
41 129 243 336 437 539 625 736 835 940 
4 126 244 337 428 512 638 737 836 941 
42 141 245 338 424 540 639 707 837 932 
43 142 246 337 438 532 607 725 814 942 
36 128 217 339 439 505 640 738 821 943 
44 143 220 340 440 520 641 739 802 906 
18 144 247 333 441 516 612 740 831 944 
21 133 217 341 418 541 642 741 838 945 
35 145 223 342 432 505 643 742 839 946 
45 104 222 323 442 504 644 706 840 947 
46 146 202 309 443 542 645 743 840 948 
44 124 248 343 401 525 646 744 828 910 
39 115 249 321 415 543 619 745 841 940 
47 147 223 318 411 525 637 746 841 908 
1 139 250 328 444 527 647 747 842 909 
7 114 225 303 445 529 621 713 841 913 
32 143 250 319 430 503 648 748 843 949 
38 148 225 325 405 538 649 749 806 950 
33 118 220 344 429 544 650 750 844 951 
48 119 251 345 446 534 651 719 830 952 
49 133 252 346 440 545 631 718 805 953 
50 149 253 347 447 517 652 751 845 954 
44 150 224 348 401 546 653 752 837 955 
51 151 254 317 408 519 606 733 846 956 
46 140 255 320 448 547 654 753 847 957 
10 121 216 303 435 548 620 732 848 958 
52 120 256 326 433 546 642 754 838 931 
32 152 257 311 449 549 655 755 849 922 
43 153 258 349 446 550 656 756 842 907 
45 154 259 350 428 509 657 709 848 927 
53 150 234 335 450 548 658 757 850 914 
23 155 259 351 421 505 645 736 847 959 
31 132 235 352 425 551 659 736 851 954 
27 156 260 349 424 507 630 713 852 960 
54 116 261 319 429 552 660 720 853 958 
55 109 228 349 422 539 631 758 854 961 
50 157 220 353 414 528 661 731 855 952 
16 158 223 354 422 553 641 738 856 958 
20 139 205 355 405 554 662 759 857 925 
56 159 259 356 411 555 618 723 858 919 
57 120 262 355 451 517 663 760 850 926 
11 123 204 357 431 534 643 761 859 907 
58 114 241 358 452 519 664 762 815 962 
17 125 217 317 442 550 650 705 858 927 
51 160 244 350 453 511 665 763 810 963 
5 134 263 359 434 522 666 740 832 964 
59 161 264 360 406 556 667 764 860 953 
38 139 207 320 406 512 668 765 821 943 
60 162 213 361 454 557 651 734 860 965 
33 163 247 362 450 509 635 752 861 966 
10 139 228 363 455 525 631 743 862 960 
61 122 226 332 456 504 646 712 819 911 
62 121 240 364 437 533 606 762 822 967 
58 164 214 321 434 511 669 766 863 963 
35 132 235 309 433 517 670 767 864 967 
9 113 212 350 457 558 611 768 850 908 
11 165 263 365 458 509 656 731 843 957 
20 166 255 366 424 506 618 769 861 968 
63 167 251 331 429 538 671 770 865 941 
58 142 265 367 431 559 614 771 831 969 
64 133 244 354 459 518 663 772 826 960 
60 132 259 351 460 504 605 741 840 913 
65 168 266 366 461 558 632 773 847 970 
66 169 243 337 462 554 621 768 840 971 
22 145 267 368 435 560 605 755 859 915 
45 151 268 315 463 502 614 741 802 972 
59 148 230 318 402 526 655 743 809 973 
7 130 221 322 458 556 672 727 810 902 
67 124 225 369 414 561 649 742 821 974 
68 170 212 370 446 533 659 774 864 934 
13 102 219 311 430 521 629 726 866 923 
